Top,中文名称,其他名称,是否可播放,导演,主演,发布年份,发布国家,电影类型,电影评分,评价人数,引言
1,肖申克的救赎,  月黑高飞(港)    刺激1995(台),未知,"导演:,弗兰克·德拉邦特,Frank,Darabont","主演:,蒂姆·罗宾斯,Tim,Robbins,/...",1994,美国,"剧情,犯罪",9.7,3335814人评价,希望让人自由。
2,霸王别姬,  再见，我的妾    Farewell My Concubine,可播放,"导演:,陈凯歌,Kaige,Chen","主演:,张国荣,Leslie,Cheung,/,张丰毅,Fengyi,Zha...",1993,"中国香港,中国大陆","同性,爱情,剧情",9.6,2451882人评价,风华绝代。
3,泰坦尼克号,  铁达尼号(港  台),可播放,"导演:,詹姆斯·卡梅隆,James,Cameron","主演:,莱昂纳多·迪卡普里奥,Leonardo...",1997,美国,"灾难,爱情,剧情",9.5,2529225人评价,失去的才是永恒的。 
4,阿甘正传,  福雷斯特·冈普,可播放,"导演:,罗伯特·泽米吉斯,Robert,Zemeckis","主演:,汤姆·汉克斯,Tom,Hanks,/,...",1994,美国,"爱情,剧情",9.5,2456602人评价,一部美国近现代史。
5,千与千寻,  神隐少女(台)    千与千寻的神隐,未知,"导演:,宫崎骏,Hayao,Miyazaki","主演:,柊瑠美,Rumi,Hîragi,/,入野自由,Miy...",2001,日本,"奇幻,动画,剧情",9.4,2568049人评价,最好的宫崎骏，最好的久石让。 
6,星际穿越,  星际启示录(港)    星际效应(台),可播放,"导演:,克里斯托弗·诺兰,Christopher,Nolan","主演:,马修·麦康纳,Matthew,Mc...",2014,"加拿大,英国,美国","冒险,科幻,剧情",9.4,2223788人评价,爱是一种力量，让我们超越时空感知它的存在。
7,美丽人生,  一个快乐的传说(港)    Life Is Beautiful,可播放,"导演:,罗伯托·贝尼尼,Roberto,Benigni","主演:,罗伯托·贝尼尼,Roberto,Beni...",1997,意大利,"战争,爱情,喜剧,剧情",9.5,1497927人评价,最美的谎言。
8,这个杀手不太冷,  终极追杀令(台)    杀手莱昂,可播放,"导演:,吕克·贝松,Luc,Besson","主演:,让·雷诺,Jean,Reno,/,娜塔莉·波特曼,...",1994,"美国,法国","犯罪,动作,剧情",9.4,2576166人评价,怪蜀黍和小萝莉不得不说的故事。
9,盗梦空间,  潜行凶间(港)    全面启动(台),可播放,"导演:,克里斯托弗·诺兰,Christopher,Nolan","主演:,莱昂纳多·迪卡普里奥,Le...",2010,"英国,美国","冒险,悬疑,科幻,剧情",9.4,2355747人评价,诺兰给了我们一场无法盗取的梦。
10,楚门的世界,  真人Show(港)    真人戏,可播放,"导演:,彼得·威尔,Peter,Weir","主演:,金·凯瑞,Jim,Carrey,/,劳拉·琳妮,Lau...",1998,美国,"科幻,剧情",9.4,2049389人评价,如果再也不能见到你，祝你早安，午安，晚安。
